商品名称	商品毛重.kg.	奶源产地	国产或进口	适用年龄.岁.	包装单位	配方	分类	段位	团购价.元.	评价量
Arla奶粉	0.8	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	248	1
完达山	0.9	其它　	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	534	92
美素	0.9	荷兰	进口	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	286	362
美赞臣	1.5	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	155	1121
合生元	1	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	1501	197
美素	0.9	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	674	10
味全	5.4	荷兰	国产	0.5-1岁	箱装	常规配方奶粉	牛奶粉	2段	612	10
雀巢	1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	214	196
明一	1.2	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	250	8
完达山	1.05	澳洲/新西兰	国产	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	288	2725
花园 黄金牧场	0.4	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	98	62
雀巢	0.9	其它　	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	308	80
雅培	1.09	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	662	54
雅培	0.9	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	1188	510
味全	0.9	荷兰	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	269	16
纽贝滋	0.4	中国大陆	国产	1-3岁	袋装	常规配方奶粉	牛奶粉	3段	72	56
羊羊	0.57	中国大陆	国产	1-3岁	盒装	常规配方奶粉	羊奶粉	3段	156	1559
伴宝乐	0.9	法国	进口	1-3岁	桶装	有机奶粉	牛奶粉	3段	1309	207
惠氏	1.1	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	276	83
圣元	1.1	澳洲/新西兰	国产	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	764	259
贝因美	0.9	其它　	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	238	189
伊利	0.4	其它　	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	864	117
伊利	0.98	其它　	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	1008	183
雀巢	0.4	德国	进口	0-0.5岁	桶装	特殊配方奶粉	牛奶粉	2段	153	476
辉山	1	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	175	27
伊利	0.45	其它　	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	40	423
御宝	1	其它　	国产	0-0.5岁	桶装	常规配方奶粉	羊奶粉	1段	378	114
诺优能	0.8	荷兰	进口	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	540	12
明一	1.2	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	197	9
伊利	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	714	583
飞鹤	0.5	其它　	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	292	120
明一	1.2	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	178	11
美可高特	5.2	中国大陆	国产	3-6岁	箱装	常规配方奶粉	羊奶粉	4段	1212	34
纽贝兰朵	1	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	328	71
美羚	1.1	中国大陆	国产	3-6岁	桶装	常规配方奶粉	羊奶粉	3段	287	39
完达山	0.4	中国大陆	国产	1-3岁	袋装	常规配方奶粉	牛奶粉	3段	180	123
君乐宝	0.8	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	79	222
