商品名称	商品毛重.kg.	奶源产地	国产或进口	适用年龄.岁.	包装单位	配方	分类	段位	团购价.元.	评价量
合生元	0.9	法国	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	324	264
英氏	0.9	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	368	621
圣元	1.1	澳洲/新西兰	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	141	756
美素	0.9	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	676	1782
贝因美	1.1	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	203	306
惠氏	1.2	其它　	进口	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	174	227
完达山	1.1	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	195	36
雅士利	0.7	其它　	国产	1-3岁	袋装	常规配方奶粉	牛奶粉	3段	151.5	1324
雀巢	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	150	436
迈高	0.8	澳洲/新西兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	205	281
贝因美	0.5	爱尔兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	88	21769
雅士利	0.7	其它　	国产	1-3岁	袋装	常规配方奶粉	牛奶粉	3段	50.5	1324
多美滋	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	570	895
雀巢	1.2	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	162	460
雅士利	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	139	390
贝因美	1	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	138	649
合生元	0.9	法国	进口	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	304	107
雅士利	1.12	澳洲/新西兰	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	248	9314
雅士利	1.2	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	129	1190
澳优	0.8	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	228	814
惠氏	1.4	荷兰	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	3段	138	1187
佳贝艾特	0.97	荷兰	进口	0-0.5岁	桶装	常规配方奶粉	羊奶粉	1段	428	316
惠氏	1.2	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	152	2448
君乐宝	0.8	中国大陆	国产	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	468	1040
美赞臣	1.5	荷兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	776	6892
雅士利	1.5	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	132	139
诺优能	2.4	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	429	177168
澳优	0.8	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	398	274
惠氏	0.9	其它　	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	1668	2412
合生元	2	法国	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	249	694
惠氏	1	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	162	243
雀巢	1	其它　	国产	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	115	460
伊利	1	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	268	951
特福芬	1.8	德国	进口	0-0.5岁	盒装	有机奶粉	牛奶粉	1段	885	431
伊利	0.4	澳洲/新西兰	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	210	1210
伊利	4.8	澳洲/新西兰	国产	1-3岁	箱装	常规配方奶粉	牛奶粉	3段	747	5
伊利	0.8	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	1060	2765
圣元	1.2	澳洲/新西兰	国产	1-3岁	袋装	常规配方奶粉	牛奶粉	3段	138	964
惠氏	1.1	爱尔兰	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	293	32279
澳优	0.8	荷兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	198	926
伊利	0.8	澳洲/新西兰	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	1701	1507
贝因美	1	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	594	635
伊利	1.2	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	139	42
雅培	1.2	其它　	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	166	571
多美滋	0.9	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	95	895
贝因美	1	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	930	1651
佳贝艾特	0.15	荷兰	进口	0.5-1岁	盒装	常规配方奶粉	羊奶粉	2段	68	619
贝因美	1.1	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	151	554
宝乐滋	0.9	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	199	761
伊利	1.2	澳洲/新西兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	105	759
诺优能	1.6	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	284	124
合生元	0.9	法国	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	412	84
合生元	1.5	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	261	27
飞鹤	1.11	中国大陆	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	238	17020
君乐宝	0.8	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	189	3647
惠氏	0.9	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	296	24275
美赞臣	2.2	荷兰	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	243	248
雅培	1.2	其它　	国产	0.5-1岁	箱装	常规配方奶粉	牛奶粉	2段	144	771
惠氏	0.9	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	644	31809
伊利	1.2	澳洲/新西兰	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	173	1577
美赞臣	1.36	其它　	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	231	77
完达山	1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	149	208
飞鹤	1.11	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	268	18127
贝因美	1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	100	50
完达山	0.41	中国大陆	国产	0-0.5岁	袋装	常规配方奶粉	牛奶粉	1段	43	1949
伊利	0.8	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	1582	2765
美赞臣	1	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	214	60
伊利	0.9	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	402	109
辉山	1	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	165	127
美赞臣	0.6	其它　	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	155	1214
惠氏	1.2	其它　	进口	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	392	31421
康维多	1	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	260	261
澳优	0.8	荷兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	268	379
惠氏	0.9	其它　	进口	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	518	21601
圣元	0.47	澳洲/新西兰	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	96	867
康维多	1	荷兰	进口	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	390	204
诺优能	0.8	荷兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	810	191
圣元	1.1	澳洲/新西兰	国产	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	236	189
惠氏	1.2	其它　	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	342	25895
羊羊	0.8	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	328	1109
完达山	1.032	中国大陆	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	308	7067
贝因美	0.55	其它　	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	88	375
佳贝艾特	1	荷兰	进口	0.5-1岁	桶装	常规配方奶粉	羊奶粉	2段	428	649
合生元	0.5	法国	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	168	136
纽贝滋	1	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	羊奶粉	3段	670	100
